,Opening,High,Low,Fenced,Volume
2013-05-24,"5,65","5,65","5,65","5,65",0
2013-06-24,"4,73","4,73","4,73","4,73",0
2013-07-03,"4,82","4,82","4,82","4,82",0
2013-07-25,"5,48","5,48","5,48","5,48",0
2013-08-08,"5,14","5,14","5,14","5,14",0
2013-08-29,"5,83","5,83","5,83","5,83",0
2013-09-09,"5,81","5,81","5,81","5,81",0
2013-09-17,"5,39","5,39","5,39","5,39",0
2013-09-23,"5,40","5,40","5,40","5,40",0
2013-09-27,"5,36","5,36","5,36","5,36",0
2013-10-11,"4,93","4,93","4,93","4,93",0
2013-10-24,"5,39","5,39","5,39","5,39",0
2013-11-04,"5,21","5,21","5,21","5,21",0
2013-11-11,"5,07","5,07","5,07","5,07",0
2013-11-19,"5,04","5,04","5,04","5,04",0
2013-11-27,"4,65","4,65","4,65","4,65",0
2013-12-11,"4,64","4,64","4,64","4,64",0
2013-12-31,"4,57","4,57","4,57","4,57",0
2014-01-21,"4,93","4,93","4,93","4,93",0
2014-01-30,"4,91","4,91","4,91","4,91",0
2014-02-14,"5,59","5,59","5,59","5,59",0
2014-03-20,"5,28","5,28","5,28","5,28",0
2014-03-26,"5,14","5,14","5,14","5,14",0
2014-04-03,"5,10","5,10","5,10","5,10",0
2014-04-14,"5,27","5,27","5,27","5,27",0
2014-04-15,"5,15","5,15","5,15","5,15",0
2014-04-17,"5,13","5,13","5,13","5,13",0
2014-04-22,"5,06","5,06","5,06","5,06",0
2014-04-23,"5,12","5,12","5,12","5,12",0
2014-05-23,"5,09","5,09","5,09","5,09",0
2014-06-02,"4,90","4,90","4,90","4,90",0
2014-06-11,"5,03","5,03","5,03","5,03",0
2014-06-24,"5,60","5,60","5,60","5,60",0
2014-06-26,"5,49","5,49","5,49","5,49",0
2014-06-30,"5,52","5,52","5,52","5,52",0
2014-07-09,"5,75","5,75","5,75","5,75",0
2014-07-11,"5,79","5,79","5,79","5,79",0
2014-08-08,"5,86","5,86","5,86","5,86",0
2014-08-11,"5,79","5,79","5,79","5,79",0
2014-08-14,"5,86","5,86","5,86","5,86",0
2014-09-05,"5,34","5,34","5,34","5,34",0
2014-09-09,"5,22","5,22","5,22","5,22",0
2014-09-18,"5,01","5,01","5,01","5,01",0
2014-09-30,"4,74","4,74","4,74","4,74",0
2014-10-14,"4,75","4,75","4,75","4,75",0
2014-10-24,"4,60","4,60","4,60","4,60",0
2014-10-28,"4,49","4,49","4,49","4,49",0
2014-11-12,"4,28","4,28","4,28","4,28",0
2014-11-19,"4,52","4,52","4,52","4,52",0
2014-12-02,"4,34","4,34","4,34","4,34",0
2014-12-11,"4,36","4,36","4,36","4,36",0
2014-12-12,"4,30","4,30","4,30","4,30",0
2014-12-29,"4,27","4,27","4,27","4,27",0
2015-01-06,"4,55","4,55","4,55","4,55",0
2015-01-08,"4,64","4,64","4,64","4,64",0
2015-01-13,"4,77","4,77","4,77","4,77",0
2015-02-17,"4,58","4,58","4,58","4,58",0
2015-02-18,"4,56","4,56","4,56","4,56",0
2015-02-25,"4,59","4,59","4,59","4,59",0
2015-03-13,"3,97","3,97","3,97","3,97",0
2015-03-18,"3,99","3,99","3,99","3,99",0
2015-04-01,"4,15","4,15","4,15","4,15",0
2015-04-07,"4,29","4,29","4,29","4,29",0
2015-04-20,"4,29","4,29","4,29","4,29",0
2015-04-24,"4,32","4,32","4,32","4,32",0
2015-04-27,"4,31","4,31","4,31","4,31",0
2015-04-28,"4,43","4,43","4,43","4,43",0
2015-05-06,"4,42","4,42","4,42","4,42",0
2015-06-05,"4,18","4,18","4,18","4,18",0
2015-06-08,"4,22","4,22","4,22","4,22",0
2015-07-17,"3,67","3,67","3,67","3,67",0
2015-07-20,"3,41","3,41","3,41","3,41",0
2015-08-10,"3,33","3,33","3,33","3,33",0
2015-08-12,"3,58","3,58","3,58","3,58",0
2015-08-13,"3,60","3,60","3,60","3,60",0
2015-08-27,"3,23","3,23","3,23","3,23",0
2015-09-04,"3,21","3,21","3,21","3,21",0
2015-09-21,"3,42","3,42","3,42","3,42",0
2015-10-12,"3,84","3,84","3,84","3,84",0
2015-10-20,"3,81","3,81","3,81","3,81",0
2015-10-26,"3,84","3,84","3,84","3,84",0
2015-11-12,"3,28","3,28","3,28","3,28",0
2015-11-17,"3,23","3,23","3,23","3,23",0
2015-12-04,"3,38","3,38","3,38","3,38",0
2015-12-08,"3,27","3,27","3,27","3,27",0
2015-12-10,"3,33","3,33","3,33","3,33",0
2015-12-21,"3,26","3,26","3,26","3,26",0
2015-12-30,"3,28","3,28","3,28","3,28",0
2016-01-04,"3,36","3,36","3,36","3,36",0
2016-01-07,"3,41","3,41","3,41","3,41",0
2016-02-01,"3,43","3,43","3,43","3,43",0
2016-02-04,"3,72","3,72","3,72","3,72",0
2016-02-22,"4,17","4,17","4,17","4,17",0
2016-02-29,"4,28","4,28","4,28","4,28",0
2016-03-07,"4,55","4,55","4,55","4,55",0
2016-03-15,"4,32","4,32","4,32","4,32",0
2016-04-14,"4,91","4,91","4,91","4,91",0
2016-04-26,"4,98","4,98","4,98","4,98",0
2016-05-03,"5,44","5,44","5,44","5,44",0
2016-05-12,"5,51","5,51","5,51","5,51",0
